pc,delta
94685453736968,-2161170912
94685453736968,-1341949680
94685453736968,2106291312
94685453736968,763878552
94685453736988,-1358212824
94685453736968,-927909936
94685453736968,2816298336
94685453736968,-1512113136
94685453736968,-1447502544
94685453736968,-668469936
94685453736968,-190158832
94685453737057,2597693728
94685453736968,-3139439728
94685453736749,2172764992
94685453736968,1486775712
94685453736968,-2528574816
94685453736968,-478127328
94685453736996,-42653424
94685453736968,521673648
94685453736968,3158674464
94685453736968,-1833103616
94685453737011,-477552352
94685453736968,26021376
94685453736968,-1409668240
94685453737057,2045719408
94685453736968,-2049843600
94685453736968,2508777072
94685453736968,-2252134224
94685453736968,1858191888
94685453736996,622510032
94685453736996,-2052849568
94685453737057,2292372640
94685453736968,577304832
94685453736968,-90673331364
94685453736924,90745373124
94685453736968,-4254283048
94685453736749,4044748888
94685453736968,-3372170784
94685453736996,2155727232
94685453736968,142714320
94685453736968,-762257984
94685453737011,210474416
94685453736968,1065972688
94685453737011,-1880283808
94685453736968,2654904520
94685453737084,201711472
94685453737116,-3337052216
94685453736968,1184875824
94685453736968,428115696
94685453736968,-2140722192
94685453736968,1867523952
94685453736968,-2262455776
94685453736749,1801876912
94685453736968,344070816
94685453736968,-1433222736
94685453736968,550014480
94685453736968,-703083120
94685453736968,185081424
94685453736968,3176155296
94685453736968,-1056808440
94685453736988,-89613768
94685453736968,-264939536
94685453736974,250203632
94685453736968,-2034506256
94685453736968,2637697824
94685453736968,-1971490368
94685453736968,1275769760
94685453737057,-1806411920
94685453736968,1021362576
94685453736968,-1261863232
